"","x"
"1",2
"2",2.5
"3",3
"4",4.5
"5",3
"6",4
"7",2.5
"8",2.5
"9",1
"10",3
"11",3.5
"12",4.5
"13",3.5
"14",3
"15",4
"16",4
"17",2.5
"18",2
"19",2
"20",3.5
"21",3.5
"22",1.5
"23",2.5
"24",3.5
"25",5
"26",2.5
"27",4
"28",4
"29",4
"30",3
"31",2.5
"32",2
"33",3.5
"34",2
"35",2.5
"36",2.5
"37",4.5
"38",1.5
"39",3.5
"40",4.5
"41",4
"42",4
"43",2.5
"44",1.5
"45",3.5
"46",2
"47",3
"48",1.5
"49",3.5
"50",3.5
"51",3
"52",4.5
"53",4.5
"54",4
"55",3
"56",4
"57",3.5
"58",2.5
"59",3.5
"60",5
"61",4
"62",4
"63",1.5
"64",3
"65",3
"66",4
"67",2.5
"68",2.5
"69",4
"70",4
"71",3
"72",3.5
"73",3
"74",4
"75",4.5
"76",4.5
"77",1.5
"78",3.5
"79",4
"80",3
"81",2.5
"82",4
"83",3.5
"84",3.5
"85",3
"86",3
"87",3.5
"88",4
"89",4
"90",3
"91",4
"92",3.5
"93",4
"94",4.5
"95",3
"96",3
"97",2.5
"98",3.5
"99",4
"100",3.5
"101",4
"102",3.5
"103",2
"104",2
"105",3.5
"106",3
"107",4
"108",3
"109",1.5
"110",4
"111",4
"112",4
"113",4
"114",4
"115",2.5
"116",4
"117",3.5
"118",3
"119",1
"120",4
"121",2.5
"122",3
"123",4
"124",2.5
"125",1.5
"126",4
"127",3
"128",3
"129",4
"130",3.5
"131",2
"132",3.5
"133",3
"134",4
"135",2.5
"136",3
"137",2
"138",2.5
"139",2
"140",3
"141",3.5
"142",2.5
"143",4
"144",4
"145",4
"146",3.5
"147",2.5
"148",1.5
"149",3.5
"150",4.5
"151",3
"152",2.5
"153",4
"154",3.5
"155",2
"156",1.5
"157",3.5
"158",4
"159",2
"160",2.5
"161",2
