"","x"
"1",2.5
"2",2
"3",2
"4",2.5
"5",4.5
"6",1.5
"7",4
"8",4
"9",2.5
"10",2.5
"11",4
"12",3
"13",2.5
"14",3.5
"15",2
"16",3.5
"17",4
"18",4
"19",3
"20",2.5
"21",3.5
"22",4
"23",4
"24",3.5
"25",2.5
"26",2
"27",2.5
"28",4
"29",1.5
"30",4
"31",4
"32",3.5
"33",4.5
"34",3.5
"35",3.5
"36",3
"37",4
"38",2
"39",1.5
"40",2.5
"41",4.5
"42",4
"43",2
"44",3
"45",3.5
"46",3.5
"47",4
"48",4
"49",4
"50",4
"51",2.5
"52",2.5
"53",2.5
"54",3.5
"55",1.5
"56",2.5
"57",4
"58",4.5
"59",4.5
"60",4
"61",2
"62",3
"63",3.5
"64",2.5
"65",4.5
"66",3.5
"67",2.5
"68",3
"69",4
"70",4
"71",3.5
"72",4
"73",2
"74",4.5
"75",4
"76",3.5
"77",3
"78",3.5
"79",3.5
"80",4
"81",3
"82",4
"83",2.5
"84",2.5
"85",3
"86",1.5
"87",2.5
"88",3.5
"89",4.5
"90",3.5
"91",3
"92",2
"93",5
"94",4
"95",4
"96",1.5
"97",1.5
"98",4
"99",4.5
"100",3
"101",4.5
"102",4.5
"103",3.5
"104",4
"105",2
"106",3.5
"107",3.5
"108",4.5
"109",3
"110",2.5
"111",1.5
"112",5
"113",2.5
"114",3
"115",4
"116",1.5
"117",3
"118",2.5
"119",2.5
"120",3.5
"121",1.5
"122",2.5
"123",1.5
"124",2
"125",3
"126",4.5
"127",3.5
"128",4.5
"129",2.5
"130",2.5
"131",1.5
"132",4.5
"133",4
"134",3.5
"135",4
"136",3
"137",2.5
"138",3
"139",4
"140",2
"141",4
"142",3
"143",2.5
"144",3
"145",4
"146",2.5
"147",3
"148",3
"149",3.5
"150",3.5
"151",2.5
"152",3
"153",2.5
"154",2.5
"155",3.5
"156",3.5
"157",2
"158",4
"159",2.5
"160",4
"161",3
"162",3.5
"163",2.5
"164",4
"165",4
"166",3.5
"167",1
"168",3
"169",2.5
"170",3.5
"171",3
"172",4.5
"173",3
"174",2.5
"175",4
"176",4
"177",2.5
"178",3.5
"179",4
"180",2.5
"181",2
"182",3
"183",2.5
"184",2
"185",2.5
"186",4
"187",4
"188",3
"189",4
"190",3
"191",4.5
"192",4
"193",3.5
"194",3
"195",4.5
"196",4.5
"197",4.5
"198",4
"199",3
"200",1
"201",4
"202",4
"203",2.5
"204",3.5
"205",4
"206",3.5
"207",4
"208",4
"209",3.5
"210",3.5
"211",3.5
"212",4
"213",3
"214",3
"215",3.5
"216",1
"217",4
"218",4
"219",4
"220",4
"221",2.5
"222",3.5
"223",4
"224",2.5
"225",3
"226",3.5
"227",3
"228",4
"229",4
"230",5
"231",4
"232",2.5
"233",3.5
"234",2.5
"235",4.5
"236",3.5
"237",1.5
"238",4
"239",3
"240",3.5
"241",4.5
"242",3
"243",3
"244",4.5
"245",4
"246",3.5
"247",2
"248",3.5
"249",4
"250",1.5
"251",3.5
"252",3
"253",3.5
"254",4
"255",3
"256",3
"257",3
"258",2.5
"259",2
"260",2.5
"261",3
"262",2
"263",3.5
"264",2
"265",3
"266",3.5
"267",3.5
"268",3
"269",2.5
"270",1
"271",2.5
"272",3.5
"273",4
"274",4
"275",3.5
"276",2.5
"277",4.5
"278",4
"279",1.5
"280",3.5
"281",4
"282",4
"283",3
"284",3
"285",3.5
"286",2.5
"287",4.5
"288",3.5
"289",2
"290",4
"291",1.5
"292",3
"293",2.5
"294",3.5
"295",2
"296",3.5
"297",3
"298",3.5
"299",2
"300",4
"301",3.5
"302",3.5
"303",4.5
"304",3.5
