"","x"
"1",2
"2",4
"3",2.5
"4",4
"5",1
"6",3.5
"7",4
"8",3
"9",4
"10",2.5
"11",2
"12",3.5
"13",2.5
"14",1.5
"15",3.5
"16",3
"17",3
"18",1.5
"19",3.5
"20",4
"21",3
"22",2.5
"23",3
"24",3
"25",3.5
"26",1.5
"27",4
"28",4
"29",4.5
"30",4
"31",4.5
"32",3
"33",4
"34",3.5
"35",3.5
"36",1.5
"37",2.5
"38",3.5
"39",4.5
"40",4
"41",3
"42",2.5
"43",2.5
"44",3
"45",3
"46",3.5
"47",3
"48",3
"49",2.5
"50",3
"51",3.5
"52",3
"53",3.5
"54",2.5
"55",3.5
"56",3.5
"57",4
"58",2
"59",3
"60",3.5
"61",3.5
"62",3
"63",3
"64",4.5
"65",4
"66",3
"67",4
"68",4
"69",3
"70",4
"71",4
"72",3.5
"73",4
"74",3.5
"75",3
"76",3.5
"77",3
"78",3.5
"79",2.5
"80",3.5
"81",3
"82",2.5
"83",2.5
"84",3.5
"85",1.5
"86",3
"87",4
"88",3.5
"89",2.5
"90",3.5
"91",3
"92",4
"93",4
"94",3
"95",4
"96",3
"97",2.5
"98",2
"99",3.5
"100",3.5
"101",4
"102",3.5
"103",4
"104",3
"105",3
"106",4
"107",3.5
"108",4.5
"109",2.5
