"","x"
"1",2
"2",4.5
"3",3.5
"4",3.5
"5",3
"6",3.5
"7",4
"8",3
"9",4.5
"10",4.5
"11",4
"12",4
"13",3.5
"14",2
"15",4
"16",2
"17",3.5
"18",4
"19",3
"20",3.5
"21",4
"22",3
"23",3
"24",3.5
"25",4
"26",4.5
"27",4
"28",3
"29",3.5
"30",4
"31",2
"32",3.5
"33",4.5
"34",4
"35",3
"36",4
"37",3.5
"38",4
"39",3
"40",3.5
"41",4.5
"42",3.5
"43",4.5
"44",3.5
"45",4
"46",3.5
"47",3
"48",4
"49",5
"50",3.5
"51",3.5
"52",4
"53",3.5
"54",3.5
"55",3.5
"56",3
"57",3.5
"58",2.5
"59",2.5
"60",3
"61",2
"62",4.5
"63",3
"64",2.5
"65",3.5
"66",3.5
"67",3
"68",3.5
"69",4
"70",3.5
"71",3.5
"72",3
"73",4
"74",3.5
"75",4.5
"76",4
"77",4
"78",4
"79",3.5
"80",4
"81",3.5
"82",4
"83",4
"84",3
"85",3
"86",4
"87",4
"88",3.5
"89",4
"90",4
"91",3.5
"92",5
"93",4.5
"94",4
"95",4
"96",3.5
"97",3.5
"98",3
"99",4
"100",4.5
"101",2.5
"102",4.5
"103",2.5
"104",3.5
"105",4
"106",4
"107",3.5
"108",3
"109",3
"110",4.5
"111",3
"112",2.5
"113",3
"114",1
"115",3
"116",3.5
"117",3.5
"118",3.5
"119",3.5
"120",4
"121",4
"122",4
"123",3.5
"124",3
"125",4
"126",3
"127",2.5
"128",3
"129",3.5
"130",4
"131",3
"132",4
"133",4
"134",3
"135",3.5
"136",4
"137",3
"138",3.5
"139",3
"140",4.5
"141",3
"142",4.5
"143",4
"144",3
"145",4
"146",3
"147",4
"148",4.5
"149",3.5
"150",4.5
"151",4
"152",4
"153",3.5
"154",4
"155",3
"156",3.5
"157",3
"158",3.5
"159",3.5
"160",2.5
"161",3.5
"162",2
"163",5
"164",4
"165",3
"166",4.5
"167",4
"168",4
"169",3
"170",3.5
"171",3
"172",3
"173",3.5
"174",4
"175",3.5
"176",3
"177",4.5
"178",4
"179",4.5
"180",2.5
"181",4
"182",4
"183",3.5
"184",4
"185",2.5
"186",3
"187",3.5
"188",3
"189",3
"190",3.5
"191",4
"192",3.5
"193",3.5
"194",3
"195",3
"196",4
"197",3
"198",4
"199",4.5
"200",3.5
"201",4
"202",3.5
"203",3.5
"204",2.5
"205",2
"206",4
"207",3
"208",2
"209",4.5
"210",4
"211",4
"212",4
"213",4
"214",4
"215",4
"216",3
"217",4
"218",4.5
"219",4
"220",4
"221",4
"222",4.5
"223",3
"224",3.5
"225",4
"226",3.5
"227",3
"228",4.5
"229",4.5
"230",2.5
"231",4.5
"232",4.5
"233",4
"234",3.5
"235",4
"236",2
"237",3
"238",4.5
"239",3.5
"240",4.5
"241",4
"242",4
"243",2.5
"244",3.5
"245",3
"246",4
"247",3
"248",3.5
"249",2.5
"250",4
"251",4.5
"252",4.5
"253",1.5
"254",3
"255",4
"256",3
"257",4
"258",3
"259",5
"260",3.5
"261",3.5
"262",3.5
"263",2.5
"264",4
"265",3.5
"266",3.5
"267",4
"268",3.5
"269",3
"270",3.5
"271",3.5
"272",4
"273",4
"274",4
"275",4
"276",2.5
"277",4
"278",3.5
"279",4
"280",4
"281",3.5
"282",3.5
"283",4
"284",3.5
"285",2.5
"286",4
"287",3.5
"288",4.5
"289",2.5
"290",4
"291",3
"292",4.5
"293",4
"294",4
"295",3.5
"296",3
"297",3.5
"298",4
"299",3
"300",4.5
"301",3
"302",4.5
"303",3.5
"304",3.5
"305",3
"306",4
"307",4.5
"308",3
"309",3.5
"310",4
"311",4
"312",3.5
"313",4.5
"314",3.5
"315",3
"316",4
"317",4.5
"318",4
"319",4
"320",3.5
"321",4
"322",3.5
"323",3.5
"324",4
"325",3
"326",3.5
"327",4
"328",3
"329",4
"330",3.5
"331",4.5
"332",4
"333",4
"334",3
"335",3
"336",5
"337",3
"338",2.5
"339",3.5
"340",4.5
"341",4
"342",4
"343",3
"344",3
"345",5
"346",3.5
"347",4
"348",3
"349",3
"350",3.5
"351",3
"352",3.5
"353",4
"354",2.5
"355",4.5
"356",4
"357",3.5
"358",3
"359",3.5
"360",4
"361",3
"362",4
"363",2
"364",2.5
"365",3.5
"366",2.5
"367",4
"368",2.5
"369",2
"370",4
"371",3.5
"372",2.5
"373",3
"374",4.5
"375",2
"376",3.5
"377",4
"378",4.5
"379",3
"380",4
"381",3.5
"382",2
"383",3.5
"384",3.5
"385",3.5
"386",4
"387",2.5
"388",4.5
"389",3.5
"390",3.5
"391",3.5
"392",4.5
"393",4
"394",3.5
"395",3
"396",3.5
"397",5
"398",3.5
"399",3.5
"400",3.5
"401",4
"402",4
"403",4
"404",3.5
"405",4.5
"406",4.5
"407",3.5
"408",3.5
"409",3
"410",4.5
"411",2.5
"412",3.5
"413",4
"414",3.5
"415",3.5
"416",4
"417",4
"418",4
"419",3.5
"420",3.5
"421",4
"422",3.5
"423",3.5
"424",3.5
"425",4
"426",3.5
"427",3.5
"428",4
"429",3.5
"430",4
"431",4.5
"432",4.5
"433",4
"434",2.5
"435",3
"436",4
"437",2.5
"438",3
"439",4
"440",3.5
"441",4.5
"442",2
"443",3.5
"444",4
"445",2
"446",3
"447",3.5
"448",3
"449",4
"450",4
"451",3.5
"452",3.5
"453",4.5
"454",3
"455",3.5
"456",3
"457",4.5
"458",4
"459",3.5
"460",3.5
"461",4
"462",3.5
"463",4
"464",4
"465",3.5
"466",4
"467",4.5
"468",2.5
"469",4.5
"470",3.5
"471",4
"472",4
"473",4.5
"474",3
"475",2
"476",4.5
"477",3
"478",4
"479",4.5
"480",4
"481",3
"482",4
"483",4.5
"484",4
"485",3.5
"486",4
"487",2.5
"488",4
"489",3
"490",4.5
"491",4
"492",4
"493",3.5
"494",4
"495",3.5
"496",3
"497",3
"498",4
"499",3.5
"500",4.5
"501",4
"502",4.5
"503",4
"504",4
"505",4
"506",3.5
"507",3.5
"508",3.5
"509",4
"510",3.5
"511",3.5
"512",3.5
"513",4
"514",3.5
"515",3.5
"516",3.5
"517",4
"518",4
"519",4
"520",3.5
"521",4.5
"522",4
"523",3
"524",2
"525",4
"526",3.5
"527",3.5
"528",4.5
"529",4.5
"530",4.5
"531",2.5
"532",3.5
"533",3.5
"534",3.5
"535",3
"536",3
"537",4.5
"538",4
"539",1.5
"540",2.5
"541",3
"542",3
"543",3
"544",5
"545",3
"546",3.5
"547",3.5
"548",4
"549",4.5
"550",3.5
"551",3
"552",3
"553",4
"554",4
"555",3.5
"556",4.5
"557",3
"558",4
"559",4
"560",5
"561",4
"562",4.5
"563",3.5
"564",3
"565",3
"566",4
"567",3.5
"568",3
"569",4
"570",4
"571",4
"572",3
"573",3.5
"574",2.5
"575",3
"576",3
"577",4.5
"578",3
"579",4
"580",4.5
"581",3.5
"582",3.5
"583",4
"584",2
"585",2.5
"586",4
"587",3.5
"588",3.5
"589",3.5
"590",4
"591",4
"592",4.5
"593",4
"594",3.5
"595",4
"596",4
"597",4
"598",4
"599",4
"600",4
"601",4
"602",4
"603",4
"604",4
"605",3.5
"606",4
"607",3
"608",4
"609",4.5
"610",4
"611",4
"612",3.5
"613",3.5
"614",4
"615",5
"616",3
"617",3
"618",4.5
"619",4.5
"620",4
"621",4
"622",2.5
"623",3.5
"624",4
"625",3.5
"626",4
"627",4
"628",3.5
"629",3
"630",2.5
"631",3
"632",4
"633",4
"634",3.5
"635",3
"636",2.5
"637",3.5
"638",4
"639",4.5
"640",3
"641",4
"642",3.5
"643",4
"644",3.5
"645",4.5
"646",4.5
"647",3.5
"648",4
"649",3.5
"650",3.5
"651",4
"652",3
"653",3.5
"654",4
"655",3.5
"656",3.5
"657",3.5
"658",4
"659",3
"660",2.5
"661",2.5
"662",4
"663",3.5
"664",2.5
"665",3.5
"666",3.5
"667",4
"668",3
"669",4
"670",3.5
"671",4
"672",3.5
"673",2.5
"674",4
"675",3.5
"676",4.5
"677",2.5
"678",4.5
"679",3
"680",3.5
"681",4.5
"682",3
"683",4
"684",3.5
"685",3.5
"686",3.5
"687",3.5
"688",3.5
"689",3.5
"690",4
"691",3
"692",4
"693",4
"694",4
"695",4
"696",4.5
"697",4
"698",3.5
"699",2.5
"700",3
"701",3
"702",3
"703",3.5
"704",1.5
"705",3
"706",3
"707",4
"708",4.5
"709",3.5
"710",3.5
"711",3
"712",4
"713",4
"714",4.5
"715",3.5
"716",3
"717",4
"718",3.5
"719",3.5
"720",3.5
"721",3.5
"722",4
"723",2.5
"724",3.5
"725",2
"726",3.5
"727",2
"728",4
"729",3.5
"730",3.5
"731",3
"732",4.5
"733",4.5
"734",3.5
"735",2.5
"736",3.5
"737",4
