"","x"
"1",4.5
"2",3
"3",3.5
"4",4.5
"5",4.5
"6",4
"7",3.5
"8",4
"9",3.5
"10",4
"11",3
"12",4
"13",3
"14",3
"15",3.5
"16",4
"17",4
"18",4
"19",2.5
"20",3
"21",4
"22",3.5
"23",4
"24",4.5
"25",3.5
"26",3.5
"27",4
"28",4
"29",4
"30",3.5
"31",3.5
"32",4
"33",3.5
"34",3.5
"35",3
"36",3.5
"37",2.5
"38",3
"39",3
"40",3
"41",2.5
"42",3.5
"43",3
"44",4
"45",4
"46",3.5
"47",3.5
"48",3
"49",4
"50",2
"51",4
"52",4
"53",3.5
"54",3.5
"55",4
"56",3.5
"57",4
"58",4.5
"59",4.5
"60",4
"61",3.5
"62",3
"63",3
"64",4.5
"65",4.5
"66",3
"67",5
"68",3.5
"69",4
"70",4
"71",3.5
"72",3.5
"73",3
"74",2.5
"75",3
"76",2.5
"77",3
"78",4
"79",4
"80",3.5
"81",4.5
"82",3.5
"83",3.5
"84",3
"85",3.5
"86",4.5
"87",4
"88",3.5
"89",4
"90",3
"91",3.5
"92",3
"93",3.5
"94",4
"95",3.5
"96",3
"97",4
"98",4
"99",3
"100",3.5
"101",3
"102",3
"103",3.5
"104",2.5
"105",4.5
"106",4
"107",5
"108",4
"109",3
"110",2.5
"111",3.5
"112",3
"113",3.5
"114",5
"115",4
"116",4
"117",3.5
"118",2.5
"119",2
"120",3
"121",2
"122",4.5
"123",4.5
"124",4
"125",4
"126",4
"127",4
"128",4
"129",3
"130",2.5
"131",3
"132",4
"133",3
"134",4.5
"135",3.5
"136",3
"137",3.5
"138",4.5
"139",4.5
"140",4
"141",2.5
"142",4
"143",3.5
"144",2.5
"145",3
"146",3
"147",5
"148",3.5
"149",4
"150",3.5
"151",3.5
"152",3
"153",4
"154",3.5
"155",4
"156",4
"157",3.5
"158",4
"159",4
"160",3.5
"161",4.5
"162",4
"163",3.5
"164",4
"165",3
"166",3.5
"167",4
"168",3
"169",3
"170",4.5
"171",5
"172",4.5
"173",3.5
"174",3
"175",3.5
"176",4
"177",3
"178",4
"179",3.5
"180",4.5
"181",3.5
"182",4
"183",4
"184",3
"185",5
"186",3.5
"187",4
"188",3.5
"189",3.5
"190",4.5
"191",4.5
"192",4
"193",5
"194",3.5
"195",2
"196",3
"197",3
"198",3.5
"199",4
"200",2.5
"201",4
"202",3
"203",3
"204",2.5
"205",3.5
"206",2.5
"207",2
"208",4
"209",5
"210",3.5
"211",3
"212",4.5
"213",3.5
"214",3.5
"215",4.5
"216",3
"217",4
"218",4
"219",3.5
"220",4
"221",4.5
"222",3.5
"223",4.5
"224",4.5
"225",3.5
"226",3.5
"227",4
"228",3.5
"229",4
"230",4
"231",4
"232",4.5
"233",3.5
"234",3.5
"235",2
"236",4
"237",3.5
"238",3.5
"239",3.5
"240",3.5
"241",3
"242",3.5
"243",3.5
"244",3.5
"245",4
"246",4
"247",4
"248",3
"249",2.5
"250",4
"251",3.5
"252",4.5
"253",3.5
"254",4
"255",3.5
"256",3
"257",4
"258",3
"259",4.5
"260",3.5
"261",3.5
"262",3
"263",4.5
"264",4
"265",4
"266",3.5
"267",3
"268",4.5
"269",4
"270",4
"271",4.5
"272",3
"273",3
"274",4
"275",4.5
"276",3
"277",4
"278",4
"279",4
"280",4
"281",3
"282",4
"283",4
"284",3.5
"285",3.5
"286",3
"287",4
"288",3
"289",4.5
"290",2.5
"291",3.5
"292",1.5
"293",4
"294",3.5
"295",3.5
"296",4
"297",4
"298",4
"299",3.5
"300",4.5
"301",4.5
"302",4
"303",4.5
"304",3.5
"305",3.5
"306",4.5
"307",4
"308",2.5
"309",3.5
"310",2.5
"311",3
"312",4
"313",4
"314",1.5
"315",3
"316",4
"317",3.5
"318",4.5
"319",4
"320",2.5
"321",4
"322",4
"323",5
"324",3
"325",4
"326",3.5
"327",3
"328",4.5
"329",2
"330",4
"331",3
"332",3.5
"333",2.5
"334",3
"335",3
"336",4.5
"337",4
"338",4.5
"339",3.5
"340",4
"341",2
"342",4.5
"343",3.5
"344",3.5
"345",3
"346",2
"347",3.5
"348",4.5
"349",4
"350",3.5
"351",4
"352",4
"353",4
"354",4
"355",3
"356",4.5
"357",4
"358",4
"359",5
"360",3
"361",3
"362",4.5
"363",4
"364",2.5
"365",4
"366",3.5
"367",4
"368",2.5
"369",3
"370",3.5
"371",4
"372",4.5
"373",4
"374",3.5
"375",4
"376",3.5
"377",4.5
"378",3.5
"379",4
"380",4
"381",3.5
"382",2
"383",4
"384",3
"385",2.5
"386",4
"387",3.5
"388",3
"389",3.5
"390",2.5
"391",3.5
"392",4.5
"393",3
"394",3
"395",3.5
"396",3.5
"397",3.5
"398",4
"399",4
"400",4.5
"401",3
"402",3
"403",3
"404",3
"405",4
"406",2.5
"407",3.5
"408",3.5
"409",3
"410",4.5
"411",3.5
"412",4
"413",4
"414",3.5
"415",4
"416",3.5
"417",2
"418",3.5
"419",2
"420",2
"421",4
"422",4
"423",3.5
"424",3.5
"425",2.5
"426",3.5
"427",2.5
"428",3.5
"429",3
