"","x"
"1",2
"2",3.5
"3",2.5
"4",4
"5",3.5
"6",3
"7",3.5
"8",2.5
"9",4
"10",4.5
"11",2.5
"12",2.5
"13",3.5
"14",4.5
"15",4
"16",3.5
"17",4
"18",4
"19",3
"20",3
"21",3.5
"22",3.5
"23",2.5
"24",3.5
"25",3
"26",2
"27",3
"28",2.5
"29",3.5
"30",2.5
"31",4
"32",4
"33",4
"34",3.5
"35",3.5
"36",5
"37",3
"38",3
"39",3.5
"40",1.5
"41",3
"42",4
"43",3
"44",4
"45",4.5
"46",5
"47",3.5
"48",3.5
"49",4
"50",3.5
"51",4
"52",2.5
"53",2.5
"54",2.5
"55",3
"56",3.5
"57",3
"58",4
"59",3.5
"60",4
"61",3
"62",3.5
"63",3
"64",3
"65",3
"66",3
"67",3.5
"68",4
"69",4
"70",2.5
"71",3
"72",2
"73",3
"74",3
"75",3.5
"76",4
"77",2.5
"78",4
"79",3.5
"80",2
"81",4
"82",1.5
"83",3.5
"84",4
"85",3.5
"86",3
"87",4
"88",3
"89",3.5
"90",4.5
"91",2
"92",4
"93",1.5
"94",3
"95",3
"96",2.5
"97",3
"98",4.5
"99",3
"100",3.5
"101",2
"102",4.5
"103",2.5
"104",3
"105",4
"106",4
"107",5
"108",3.5
"109",3.5
"110",2.5
"111",4
"112",4
"113",4
"114",3.5
"115",3.5
"116",4.5
"117",4
"118",3.5
"119",3
"120",4
"121",4.5
"122",4
"123",2.5
"124",4.5
"125",2.5
"126",4
"127",4
"128",3.5
"129",3.5
"130",4
"131",3
"132",2.5
"133",3.5
"134",4
"135",4
"136",3.5
"137",4
"138",4
"139",3.5
"140",3
"141",2.5
"142",3
"143",3
"144",4.5
"145",4
"146",3.5
"147",2.5
"148",4
"149",3.5
"150",3.5
"151",2.5
"152",3
"153",4
"154",3.5
"155",4
"156",3.5
"157",3
"158",3.5
"159",2
"160",1
"161",2.5
"162",3.5
"163",4
"164",4.5
"165",3.5
"166",2.5
"167",3
"168",3.5
"169",3.5
"170",4
"171",4
"172",3
"173",3.5
"174",4
"175",2
"176",3.5
"177",4
"178",3.5
"179",3.5
"180",3
"181",4
"182",3.5
"183",3.5
"184",3.5
"185",3
"186",3.5
"187",3
"188",4.5
"189",3
"190",4
"191",3.5
"192",3.5
"193",3
"194",2
"195",3
"196",3
"197",4
"198",4
"199",2.5
"200",4
"201",2.5
"202",4.5
"203",3
"204",3.5
"205",4.5
"206",4
"207",5
"208",3.5
"209",3
"210",4
"211",3
"212",1.5
"213",4.5
"214",3
"215",3.5
"216",3
"217",3.5
"218",2.5
"219",2.5
"220",3.5
"221",4
"222",2
"223",4
"224",4
"225",4
"226",4
"227",3.5
"228",2.5
"229",4
"230",4
"231",3.5
"232",3.5
"233",4.5
"234",1.5
"235",5
"236",4
"237",3
"238",3.5
"239",3
"240",3
"241",3
"242",2.5
"243",3
"244",4.5
"245",3.5
"246",4
"247",2
"248",3.5
"249",3.5
"250",4.5
"251",3.5
"252",4
"253",4
"254",4
"255",1.5
"256",3.5
"257",4
"258",4
"259",4
"260",3.5
"261",2.5
"262",4
"263",4
"264",2.5
"265",3
"266",4
"267",2
"268",4.5
"269",2
"270",4
"271",3.5
"272",2.5
"273",3.5
"274",4
"275",3.5
"276",2.5
"277",2.5
"278",3
"279",3.5
"280",4
"281",3.5
"282",3.5
"283",3.5
"284",3.5
"285",4
"286",4
"287",3
"288",3
"289",1.5
"290",2.5
"291",3
"292",3.5
"293",2
"294",4
"295",1.5
"296",4.5
"297",3.5
"298",3
"299",2.5
"300",1
"301",3.5
"302",4
"303",2
"304",4
"305",4
"306",4
"307",3.5
"308",4
"309",3
"310",3.5
"311",3
"312",3
