"","x"
"1",4
"2",4.5
"3",4
"4",2
"5",4
"6",4.5
"7",3
"8",4
"9",2.5
"10",2
"11",4
"12",3.5
"13",2
"14",4.5
"15",2.5
"16",4
"17",2.5
"18",4.5
"19",4
"20",3
"21",3.5
"22",2.5
"23",3.5
"24",4.5
"25",4
"26",3.5
"27",3
"28",3
"29",4
"30",2
"31",4
"32",4
"33",2.5
"34",5
"35",3.5
"36",4
"37",3.5
"38",3.5
"39",4
"40",4.5
"41",2.5
"42",3
"43",4.5
"44",3
"45",4
"46",3.5
"47",3
"48",2
"49",3.5
"50",3.5
"51",2.5
"52",4
"53",3.5
"54",4.5
"55",2
"56",4
"57",2.5
"58",2
"59",1.5
"60",4
"61",4
"62",4
"63",4
"64",3.5
"65",3.5
"66",3.5
"67",4.5
"68",3.5
"69",5
"70",3
"71",4.5
"72",3
"73",4.5
"74",1.5
"75",2.5
"76",4.5
"77",3.5
"78",3.5
"79",4
"80",3
"81",4.5
"82",2.5
"83",3
"84",1
"85",3
"86",3
"87",3.5
"88",3.5
"89",3.5
"90",3.5
"91",4
"92",4
"93",3
"94",2.5
"95",4
"96",3.5
"97",4
"98",2
"99",2.5
"100",3
"101",4
"102",1.5
"103",3
"104",3
"105",3
"106",3.5
"107",3
"108",4.5
"109",3.5
"110",4
"111",3.5
"112",3
"113",4
"114",4
"115",3
"116",4
"117",4
"118",3.5
"119",2.5
"120",4
"121",2
"122",4
"123",3.5
"124",4
"125",3.5
"126",4
"127",4
"128",4.5
"129",3.5
"130",3
"131",2.5
"132",3
"133",4
"134",4
"135",3.5
"136",3
"137",5
"138",4
"139",2
"140",4.5
"141",4
"142",2
"143",3
"144",3
"145",3
"146",4
"147",2.5
"148",5
"149",4.5
"150",3.5
"151",4
"152",4.5
"153",2.5
"154",2.5
"155",5
"156",3
"157",4
"158",4
"159",3
"160",2.5
"161",3
"162",1.5
"163",2.5
"164",3
"165",4
"166",3.5
"167",3
"168",3
"169",3.5
"170",3
"171",3.5
"172",2.5
"173",2
"174",4
"175",3
"176",2
"177",3.5
"178",3.5
"179",2.5
"180",4
"181",4
"182",1.5
"183",1.5
"184",4
"185",4.5
"186",3
"187",4
"188",4.5
"189",2.5
"190",3
"191",4
"192",3
"193",4.5
"194",4.5
"195",4.5
"196",4
"197",4
"198",4
"199",3.5
"200",3.5
"201",2
"202",3
"203",4.5
"204",2
"205",3.5
"206",4
"207",2.5
"208",2
"209",3.5
