"","x"
"1",2.5
"2",4.5
"3",2
"4",4.5
"5",3.5
"6",2
"7",4
"8",2
"9",2
"10",4
"11",3
"12",4.5
"13",4.5
"14",4
"15",4.5
"16",3
"17",4
"18",2.5
"19",3.5
"20",2
"21",4
"22",3.5
"23",3
"24",2
"25",4
"26",3
"27",2.5
"28",4
"29",3.5
"30",3
"31",2.5
"32",2
"33",4
"34",4
"35",4.5
"36",4
"37",3
"38",3.5
"39",2.5
"40",2
"41",2.5
"42",3.5
"43",4.5
"44",4
"45",2.5
"46",1
"47",3
"48",3.5
"49",2
"50",4
"51",3.5
"52",3
"53",3
"54",3.5
"55",4.5
"56",4
"57",2
"58",4
"59",3.5
"60",3.5
"61",4
"62",4
"63",2.5
"64",4
"65",5
"66",3.5
"67",3.5
"68",4
"69",3.5
"70",3.5
"71",4
"72",2.5
"73",3
"74",4.5
"75",2.5
"76",2.5
"77",3
"78",2
"79",4.5
"80",3
"81",4
"82",3.5
"83",3
"84",3.5
"85",3
"86",2
"87",2.5
"88",2
"89",3.5
"90",3
"91",2.5
"92",4
"93",3.5
"94",4.5
"95",2
"96",4
"97",1.5
"98",2.5
"99",3
"100",2
"101",4
"102",2.5
"103",4
"104",3.5
"105",4
"106",3.5
"107",3.5
"108",4
"109",4
"110",4
"111",3.5
"112",2
"113",3.5
"114",3.5
"115",4.5
"116",4
"117",4
"118",3.5
"119",3
"120",1.5
"121",4
"122",4
"123",3.5
"124",2
"125",2.5
"126",4.5
"127",1.5
"128",3
"129",4
"130",3
"131",4.5
"132",2.5
"133",2.5
"134",4.5
"135",3.5
"136",3.5
"137",4
"138",4
"139",4
"140",3
"141",2
"142",4.5
"143",4.5
"144",3
"145",5
"146",2.5
"147",3
"148",2.5
"149",3
"150",3
"151",3.5
"152",3.5
"153",3.5
"154",3.5
"155",3.5
"156",3
"157",1.5
"158",4
"159",3.5
"160",4
"161",4
"162",3
"163",3.5
"164",4
"165",3
"166",3
"167",2.5
"168",3
"169",2.5
"170",4
"171",2.5
"172",3.5
"173",4
"174",2.5
"175",3
"176",3
"177",4
"178",2
"179",1.5
"180",1.5
"181",3
"182",3.5
"183",4
"184",3
"185",2.5
"186",3.5
"187",3
"188",4.5
"189",3.5
"190",4
"191",3.5
"192",3
"193",4
"194",2
"195",4.5
"196",4.5
"197",3.5
"198",4
"199",4
"200",2
"201",3
"202",4
"203",3
"204",2.5
"205",4
"206",3
"207",4.5
"208",4
"209",3.5
"210",2.5
"211",2
"212",4.5
"213",4
"214",3
"215",3.5
"216",3
"217",4
"218",2.5
"219",3.5
"220",4
"221",4
"222",3.5
"223",4.5
"224",3
"225",2.5
"226",3.5
"227",3
"228",4
"229",4
"230",3.5
"231",2
"232",3
"233",5
"234",4
"235",3
"236",2
"237",4.5
"238",1.5
"239",4
"240",2
"241",3
"242",3.5
"243",3
"244",3.5
"245",3
"246",3.5
"247",4
"248",2
"249",2.5
"250",2.5
"251",2
"252",4.5
"253",3.5
"254",4
"255",4.5
"256",2.5
"257",2.5
"258",4
"259",1
"260",2
"261",3
"262",4
"263",3
"264",4
"265",2
"266",4
"267",3
"268",3.5
"269",2.5
"270",3
"271",1.5
"272",2.5
"273",3
"274",3
"275",2.5
"276",3
"277",4
"278",3.5
"279",3.5
"280",3
"281",3
"282",4
"283",3
"284",4
"285",4.5
"286",3.5
"287",4
"288",3
"289",3.5
"290",3.5
"291",2.5
"292",3.5
"293",2
"294",3
"295",4
"296",3
"297",3
"298",2
"299",3.5
"300",4.5
"301",3.5
"302",3.5
"303",2.5
"304",2
"305",4
"306",2
"307",2
"308",5
"309",4
"310",4
"311",4
"312",3
"313",1.5
"314",1.5
"315",4
"316",4.5
"317",3
"318",4
"319",4
"320",4.5
"321",2.5
"322",3
"323",3.5
"324",3
"325",3.5
"326",4.5
"327",4.5
"328",3
"329",4.5
"330",4.5
"331",3
"332",4
"333",4
"334",4
"335",3.5
"336",3.5
"337",4
"338",1
"339",3.5
"340",3.5
"341",3.5
"342",2
"343",4.5
"344",2
"345",3.5
"346",4
"347",4
"348",4
"349",2.5
"350",3
"351",3
"352",3.5
"353",2.5
"354",4
"355",4.5
"356",4.5
"357",1.5
"358",3
"359",3.5
"360",1.5
"361",5
"362",3.5
